Pagina_PDF;Modello Prodotto;Grandezza Telaio;Portata Massima;Pressione Operativa;Portata Aria Ripresa Max;Pressione Spinta Massima;Aria esterna massima;Valore di temperatura minimo;Capacita Massima Aria Esterna;Capacita frigorifera aria esterna;Capacita di assorbimento aria esterna;EER compressori;Potenza termica aria esterna;Potenza assorbita aria esterna;COP compressori;Potenza aria calda esterna;Potenza assorbita aria esterna 5;COP compressori.1;Potenza recuperata minima;Potenza frigorifera totale macchina;EER minimo;Recupero Termico Minimo;Potenza termica totale macchina7;COP minimo sistema riferito ai soli compressori7;Recupero Termico;Potenza termica totale macchina;COP minimo;Efficienza stagionale in raffreddamento 9;Efficienza stagionale in riscaldamento 10;N. compressori / N. circuiti;Modulazione carico;Fluido refrigerante;Valvola espansione;Tipologia ventilatori sezione ventilante esterna;Tipologia ventilatori sezione ventilante mandata;Modulo gas massimo;Potenza termica massima modulo gas;Efficienza massima sul PCI;1 Pressione Massima;1 Pressione Massima Ripresa;2 Rapporto di temperatura minimo;3 Potenza frigorifera aria esterna;3 Potenza assorbita aria esterna;4 Potenza termica aria esterna;4 COP compressori;5 Potenza termica aria esterna;5 Potenza assorbita aria esterna;5 COP compressori;Recupero Termico Minimo2;6 Potenza frigorifera totale macchina;6 EER minimo sistema riferito ai soli compressori;7 Potenza recuperata minima dalla ruota 33% a.e.;7 Potenza termica totale macchina;7 COP minimo sistema riferito ai soli compressori;8 Potenza termica totale macchina;9 Efficienza stagionale in raffreddamento;10 Efficienza stagionale in riscaldamento;Potenza massima assorbita;Corrente massima assorbita;Spunto massimo M/FCS;Alimentazione
6;UV-86;C;8.656;813.0;8.484;622.0;9.404;75.0;8.616;42.2;10.9;4.2;39.3;7.4;5.2;29.3;6.9;4.4;16.7;65.7;5.6;8,5;47.5;6.8;17,2;44.9;5.8;137,3;115,1;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G040;44.16;100,5;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
6;WX-111;C;11.158;1.175;10.528;683.0;9.423;75.0;9.796;54.4;12.5;4.1;48.4;9.7;4.7;33.8;7.1;4.1;19.7;64.5;5.2;9,5;56.7;5.5;18,5;50.8;5.4;124,5;109,9;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;64.83;113,7;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
6;YZ-108;C;10.857;1.136;10.052;710.0;10.202;75.0;9.914;59.4;14.8;3.7;56.5;10.4;4.4;36.2;9.3;3.7;18.6;67.4;5.9;9,3;61.2;5.1;19,9;55.5;6.2;128,5;113,1;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;67.28;114,5;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
6;AC-102;D;10.203;1.146;10.793;710.0;11.167;75.0;10.716;51.6;10.9;3.8;45.7;9.3;4.7;34.2;7.9;3.1;15.9;64.6;5.2;9,2;52.8;5.9;16,7;47.5;6.4;124,8;115,3;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;58.23;115,7;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
6;AD-115;D;11.523;915.0;11.294;591.0;11.053;75.0;11.026;64.9;14.3;4.5;56.1;11.1;4.8;37.9;10.4;4.3;20.8;82.2;5.1;11,1;72.2;6.2;20,6;63.3;6.7;124,3;117,7;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;64.81;111,6;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
7;AE-131;D;13.169;758.0;14.589;614.0;13.308;75.0;11.476;68.4;16.2;3.8;67.9;13.3;4.9;47.3;11.8;4.8;23.5;87.7;5.4;12,6;77.5;6.4;25,6;70.7;6.4;119,5;112,4;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;65.56;104,4;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
7;AF-128;D;12.804;804.0;14.104;643.0;12.474;75.0;12.002;73.1;16.9;4.3;73.3;16.3;4.5;47.3;12.5;3.6;25.4;104.5;4.2;13,5;92.5;5.8;22,8;69.4;5.4;112,2;114,8;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;65.38;116,7;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
7;AG-144;E;14.45;978.0;16.506;586.0;16.129;75.0;12.342;81.2;17.3;4.8;76.5;13.6;5.2;48.5;12.8;4.4;26.2;107.2;5.6;13,4;86.3;6.9;27,6;73.1;6.7;134,9;123,9;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G105;99.35;118,5;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
7;AH-187;E;18.717;841.0;18.178;690.0;16.943;75.0;12.122;80.3;23.1;4.4;74.1;17.7;5.3;54.6;14.8;3.6;29.5;118.9;5.2;17,1;96.5;5.1;29,1;86.1;6.8;109,2;107,5;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G105;100.42;97,1;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
7;AI-183;E;18.36;1.152;21.37;689.0;18.634;75.0;11.979;101.1;25.7;4.5;97.3;18.8;5.6;69.2;15.3;4.6;36.6;135.4;5.3;17,4;120.2;6.5;34,5;113.3;6.7;122,8;124,5;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G105;99.25;107,5;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;AJ-195;E;19.533;995.0;18.436;697.0;19.787;75.0;10.161;119.5;27.2;4.1;112.4;21.6;4.5;84.5;20.6;3.4;36.7;153.8;5.2;19,2;135.4;5.1;35,5;109.1;5.7;150,7;152,9;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G105;101.99;109,2;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;AK-233;F;23.337;1.185;24.579;695.0;21.393;75.0;11.628;122.3;26.3;4.3;117.8;20.1;4.5;84.5;21.9;4.3;35.3;149.7;6.4;19,6;136.8;6.4;39,1;125.4;5.1;159,5;138,2;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G132;128.02;97,3;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;AL-295;F;29.516;929.0;26.15;615.0;24.536;75.0;10.499;147.8;35.3;4.2;131.6;26.6;5.5;99.7;21.2;3.9;44.7;181.7;5.4;25,4;163.9;5.1;54,3;145.6;6.1;131,2;137,5;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G162;170.34;109,2;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;AM-282;F;28.284;676.0;32.618;724.0;30.555;75.0;11.504;166.5;34.9;4.7;145.5;31.5;4.1;108.9;25.1;3.5;47.7;226.8;5.2;29,7;156.3;6.4;59,7;173.9;6.3;149,4;135,2;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G162;149.67;117,6;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;AN-270;F;27.048;692.0;27.555;736.0;28.919;75.0;10.191;150.4;41.7;3.7;166.2;35.7;5.5;126.2;28.7;3.2;48.6;240.2;5.7;30,2;177.2;5.2;54,7;186.6;6.2;134,6;132,7;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G162;169.19;103,6;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
9;AO-358;G;35.887;;36.398;;32.222;;17.535;nan;nan;3.8;nan;32.3;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;63,6;nan;5.2;nan;nan;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;195.8;107,8;811.0;586.0;75.0;161.7;44.1;149.4;4.6;128.3;26.9;3.9;53,9;247.9;5.5;31.1;206.3;6.2;183.3;125,1;140,4;nan;nan;nan;nan
9;AP-353;G;35.321;;33.638;;38.483;;16.902;nan;nan;4.6;nan;36.7;.;nan;nan;nan;nan;nan;nan;nan;nan;nan;73,7;nan;5.6;nan;nan;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;174.7;117,7;983.0;663.0;75.0;184.4;45.6;178.5;4.3;126.8;32.9;4.4;61,5;267.1;6.1;34.5;229.8;5.1;188.5;130,2;145,7;nan;nan;nan;nan
9;AQ-426;G;42.621;;37.493;;40.379;;17.831;nan;nan;3.9;nan;35.3;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;71,3;nan;6.5;nan;nan;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;180.5;111,3;1.2;808.0;75.0;209.5;45.8;192.8;4.5;126.1;32.4;4.7;65,6;282.8;5.5;36.7;245.8;5.8;231.2;135,5;142,4;nan;nan;nan;nan
9;AR-417;G;41.772;;38.057;;37.825;;19.955;nan;nan;4.6;nan;45.2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;79,3;nan;5.9;nan;nan;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;182.4;101,6;994.0;720.0;75.0;240.9;62.9;241.4;4.8;148.4;40.3;4.3;65,8;292.8;5.3;34.5;237.7;5.5;215.1;146,3;133,9;nan;nan;nan;nan
9;AS-429;H;42.978;;44.472;;42.465;;22.155;nan;nan;3.7;nan;41.2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;75,7;nan;5.8;nan;nan;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G320;271.89;116,9;920.0;622.0;75.0;259.6;60.1;200.7;4.5;156.2;44.2;4.1;72,1;284.3;5.4;37.5;248.4;6.1;246.3;135,3;147,1;nan;nan;nan;nan
10;AT-469;H;46.944;1.098;52.785;685.0;53.224;73.0;24.371;256.9;64.4;4.4;243.5;49.8;4.9;178.6;49.5;3.9;86.6;325.7;4.8;50,5;321.4;5.2;98,3;283.1;6.5;142,6;134,4;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G320;300.36;104,3;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
10;AU-523;H;52.38;1.168;48.981;711.0;50.941;73.0;22.314;262.7;71.5;3.3;281.1;68.1;4.2;200.5;52.5;3.4;81.7;384.3;5.7;49,4;356.6;4.6;85,8;281.1;5.7;120,7;123,5;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;287.46;102,8;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
10;AV-635;I;63.515;811.0;54.322;638.0;60.833;73.0;22.774;312.4;81.3;4.6;274.7;55.7;4.7;218.9;51.2;3.6;99.8;404.1;5.2;54,3;314.3;5.4;115,7;345.7;6.6;149,4;114,5;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;317.83;98,3;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
10;AW-547;I;54.755;854.0;56.447;684.0;62.264;73.0;24.139;330.4;75.8;3.3;308.5;68.8;4.8;239.5;59.4;3.2;100.1;399.2;5.3;52,8;333.8;5.7;95,9;355.8;5.3;125,8;122,8;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;312.69;104,9;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
10;AT-469;H;46.944;1.098;52.785;685.0;53.224;75.0;24.371;256.9;64.4;4.4;243.5;49.8;4.9;178.6;49.5;3.9;86.6;325.7;4.8;50,5;321.4;5.2;98,3;283.1;6.5;142,6;134,4;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G320;300.36;104,3;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
10;AU-523;H;52.38;1.168;48.981;711.0;50.941;75.0;22.314;262.7;71.5;3.3;281.1;68.1;4.2;200.5;52.5;3.4;81.7;384.3;5.7;49,4;356.6;4.6;85,8;281.1;5.7;120,7;123,5;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;287.46;102,8;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
10;AV-635;I;63.515;811.0;54.322;638.0;60.833;75.0;22.774;312.4;81.3;4.6;274.7;55.7;4.7;218.9;51.2;3.6;99.8;404.1;5.2;54,3;314.3;5.4;115,7;345.7;6.6;149,4;114,5;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;317.83;98,3;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
10;AW-547;I;54.755;854.0;56.447;684.0;62.264;75.0;24.139;330.4;75.8;3.3;308.5;68.8;4.8;239.5;59.4;3.2;100.1;399.2;5.3;52,8;333.8;5.7;95,9;355.8;5.3;125,8;122,8;4-2;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;312.69;104,9;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
11;AB-34;A;;;;;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.7;16.1;15,7;400V / 3F / 50Hz + N
11;CD-49;A;;;;;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;15.2;22.6;23,7;400V / 3F / 50Hz + N
11;EF-52;A;;;;;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;16.1;28.6;28,5;400V / 3F / 50Hz + N
11;GH-69;B;;;;;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;16.6;27.9;86,1;400V / 3F / 50Hz + N
11;IJ-75;B;;;;;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;21.1;33.9;104,7;400V / 3F / 50Hz + N
12;AJ-195;E;;;;;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;55.5;100.5;204,3;400V / 3F / 50Hz + N
12;AK-233;F;;;;;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;55.8;105.8;222,7;400V / 3F / 50Hz + N
12;AL-295;F;;;;;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;67.2;115.7;231,2;400V / 3F / 50Hz + N
12;AM-282;F;;;;;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;76.6;120.9;231,3;400V / 3F / 50Hz + N
12;AN-270;F;;;;;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;91.9;130.2;260,7;400V / 3F / 50Hz + N
