Categoria;Prodotto;URL;Descrizione
NEWS;Politica Energetica;https://www.zoppellaro.net/News;La Zoppellaro Srl si è posta l’obiettivo di creare una buona e salda immagine con i propri Clienti, tramite la realizzazione di prodotti di buona qualità, conformi ai requisiti definiti in fase contrattuale che contemplano di regola anche le norme tecniche applicabili, intervenendo con professionalità e sollecitudine sui problemi che si dovessero manifestare alla consegna e nel periodo di garanzia. La Zoppellaro Srl si è posta l’obiettivo di creare una buona e salda immagine con i propri Clienti, tramite la realizzazione di prodotti di buona qualità, conformi ai requisiti definiti in fase contrattuale che contemplano di regola anche le norme tecniche applicabili, intervenendo con professionalità e sollecitudine sui problemi che si dovessero manifestare alla consegna e nel periodo di garanzia. La struttura organizzativa flessibile ed elastica, il continuo aggiornamento alle normative, l’applicazione dei moderni concetti di autocontrollo, prevenzione e il miglioramento continuo sono i capisaldi per perseguire l’obiettivo sopra citato. La struttura organizzativa flessibile ed elastica, il continuo aggiornamento alle normative, l’applicazione dei moderni concetti di autocontrollo, prevenzione e il miglioramento continuo sono i capisaldi per perseguire l’obiettivo sopra citato. La Politica per l’Energia, che fa perno sui contenuti suddetti, si esprime nei seguenti aspetti:
Unità trattamento Aria;UNITÀ TRATTAMENTO ARIA CERTIFICATE EUROVENT SERIE SA 50;https://www.zoppellaro.net/unità-trattamento-aria;La serie SA 50 offre centrali di trattamento aria certificate Eurovent, con portate da 1.000 a 90.000 m³/h. Queste unità, ideali per applicazioni civili, industriali e sanitarie, garantiscono elevati standard di qualità, efficienza energetica e silenziosità. La struttura modulare è realizzata con profili in alluminio e pannelli sandwich con coibentazione in poliuretano espanso o lana minerale. L'ampia scelta di componenti (ventilatori, batterie, filtri, recuperatori) consente di personalizzare la centrale in base alle specifiche esigenze. La serie SA 50 è certificata secondo la direttiva macchine 2006/42/CE, la direttiva ERP 2009/125/CE, la direttiva bassa tensione 2006/95/CE e la direttiva EMC 2004/108/CE.
Unità trattamento Aria;UNITÀ TAV;https://www.zoppellaro.net/unità-trattamento-aria;"Le unità di trattamento aria TAV sono progettate per l'installazione verticale, ideale per ottimizzare gli spazi in applicazioni civili, commerciali, industriali e alberghiere. 1 Con portate d'aria da 2.000 a 30.000 m³/h, queste unità offrono soluzioni complete per la filtrazione, il raffreddamento e il riscaldamento dell'aria, garantendo un clima confortevole in ogni ambiente. 2 La struttura compatta e la vasta gamma di accessori disponibili, come plenum di mandata, serrande e griglie, la rendono una soluzione versatile e adattabile a diverse esigenze. 3 La serie TAV è dotata di ventilatori plug-fan a pale rovesce con motore a corrente continua ""Brushless"" a controllo elettronico e inverter integrato. 4 La filtrazione standard è affidata a filtri sintetici di classe G4, con possibilità di installare filtri M5, F7 o F9. 5 Le unità possono essere fornite con regolazione integrata e sono pronte per l'installazione, semplificando la progettazione e riducendo i tempi di installazione. 6"
Unità trattamento Aria;UNITA' CPZ;https://www.zoppellaro.net/unità-trattamento-aria;"I termocondizionatori pensili CPZ sono unità compatte e versatili, progettate per l'installazione a controsoffitto in ambienti residenziali, commerciali e terziari. Con portate d'aria da 300 a 5.000 m³/h, la serie CPZ si adatta a diverse esigenze di climatizzazione. La serie CPZ è disponibile in 7 modelli, con struttura autoportante in pannello o a telaio portante in alluminio. I pannelli sandwich con isolamento in poliuretano espanso garantiscono un'elevata efficienza energetica. I ventilatori plug-fan a pale rovesce con motore a corrente continua ""Brushless"" assicurano un funzionamento silenzioso. La serie CPZ offre diverse opzioni di configurazione, tra cui batterie ad acqua, ad espansione diretta o elettriche. La filtrazione dell'aria è garantita da filtri di classe M5."
Unità trattamento Aria;UNITÀ TRATTAMENTO ARIA DEL TUTTO CONFIGURABILI;https://www.zoppellaro.net/unità-trattamento-aria;Zoppellaro propone unità trattamento aria configurabili e personalizzabili a seconda delle proprie esigenze. Le centrali assicurano prestazioni elevate e sono realizzabili sia con struttura autoportante senza profili in alluminio realizzata a taglio termico, oppure con struttura portante in profilo di alluminio, che può essere estruso, verniciato o anodizzato. I pannelli sono disponibili in vari spessori (20-30-42-50-60-100 mm) e in vari materiali, tra cui il già citato alluminio, l'acciaio inox 304 e 316, la lamiera zincata e, eventualmente, essere trattati con verniciatura antibatterica. Non esitate a mettervi in contatto con il nostro ufficio tecnico per ulteriori informazioni, specifiche tecniche e preventivi gratuiti sulle unità trattamento aria proposte.
Recuperatori di Calore;RECUPERATORI PASSIVI RRZ;https://www.zoppellaro.net/Recuperatori-di-calore;Unità di trattamento aria con recuperatore di calore rotativo adsorbente ad alta efficienza, progettata per garantire il ricambio d'aria primaria in impianti di climatizzazione quali: sistemi VRV e VRF, fan coil, impianti radianti e sistemi a pannelli radianti e travi fredde (con eventuale integrazione). Portate d'aria disponibili da 2.000 a 15.000 m³/h.
Recuperatori di Calore;RECUPERATORI PASSIVI RPZ X;https://www.zoppellaro.net/Recuperatori-di-calore;Progettate per garantire il ricambio d'aria primaria in impianti di climatizzazione di diversa tipologia, le nostre unità di recupero aria offrono prestazioni elevate e un'ampia gamma di compatibilità con sistemi VRV, VRF, fan coil, impianti radianti e sistemi a pannelli radianti e travi fredde. Portate d'aria disponibili da 300 a 5.000 m³/h.
Recuperatori di Calore;RECUPERATORI SOLO ATTIVI RPZ C i;https://www.zoppellaro.net/Recuperatori-di-calore;Progettati per garantire la completa separazione tra i flussi d'aria, i recuperatori RPZ C assicurano un'elevata qualità dell'aria negli ambienti. Ideali per impianti VRV, VRF, fan coil, radianti e travi fredde, offrono portate d'aria da 950 a 3.500 m³/h.
Recuperatori di Calore;RECUPERATORI SOLO ATTIVI RZ C i;https://www.zoppellaro.net/Recuperatori-di-calore;Progettati per garantire la completa separazione tra i flussi d'aria, i recuperatori termodinamici autonomi assicurano un'elevata qualità dell'aria negli ambienti. Ideali per impianti VRV, VRF, fan coil, radianti e travi fredde, offrono portate d'aria da 2.900 a 24.000 m³/h.
Recuperatori di Calore;RECUPERATORI MULTISTADIO RPZ XC;https://www.zoppellaro.net/Recuperatori-di-calore;Unità di trattamento aria a doppio stadio con recupero di calore ad alta efficienza, per portate da 350 a 20.000 m³/h. Progettata per il ricambio aria primaria e la deumidificazione in impianti di climatizzazione di diversa tipologia, quali sistemi VRV e VRF, fan coil, impianti radianti a pannelli e sistemi misti radianti/travi fredde.
Recuperatori di Calore;RECUPERATORI MULTISTADIO DNA RH;https://www.zoppellaro.net/Recuperatori-di-calore;Unità di trattamento aria DNA RH BO, con recuperatore di calore rotativo adsorbente e pompa di calore aria-aria integrata, per portate da 2.200 a 25.000 m³/h. Indicata per il ricambio aria primaria e la deumidificazione in impianti di climatizzazione, inclusi sistemi VRV e VRF, fan coil, impianti radianti a pannelli e sistemi misti radianti/travi fredde.
Recuperatori di Calore;RECUPERATORI MULTISTADIO DNA XX;https://www.zoppellaro.net/Recuperatori-di-calore;Unità di trattamento aria DNA XX, dotata di doppio recuperatore di calore a flussi incrociati, saturatore adiabatico e pompa di calore aria-aria integrata, per portate da 4.000 a 25.000 m³/h. Soluzione ideale per il ricambio aria primaria e la deumidificazione in impianti di climatizzazione, inclusi sistemi VRV e VRF, fan coil, impianti radianti a pannelli e sistemi misti radianti/travi fredde.
Condizionatori Roof Top;CLIMATIZZATORI ROOFTOP STANDARD serie PAL;https://www.zoppellaro.net/produzione-condizionatori-roof-top;Unità di trattamento aria PAL: climatizzazione autonoma ad alta efficienza e flessibilità (3.500 - 58.000 m³/h) Le unità di trattamento aria PAL offrono una soluzione completa per la climatizzazione di ambienti civili e industriali, grazie alla loro elevata efficienza e flessibilità. Queste unità sono progettate per garantire un controllo preciso del clima, con un'ampia gamma di configurazioni per il rinnovo dell'aria, la deumidificazione e il trattamento termico. Una delle caratteristiche principali delle unità PAL è la capacità di funzionare anche al 100% con aria esterna, garantendo la massima flessibilità operativa e adattandosi alle diverse esigenze di ogni applicazione.
Condizionatori Roof Top;CLIMATIZZATORI ROOFTOP EVOLUTI NO FROST serie N.ICE;https://www.zoppellaro.net/produzione-condizionatori-roof-top;N.ICE: Climatizzatore rooftop autonomo in pompa di calore reversibile, no frost, per impianti civili e industriali a tutt'aria.N.ICE è una soluzione completa per la climatizzazione di ambienti civili e industriali. Questa unità rooftop, in pompa di calore reversibile e con tecnologia no frost, è progettata per garantire il rinnovo dell'aria, la deumidificazione e il controllo climatico preciso in qualsiasi condizione. N.ICE può funzionare anche al 100% con aria esterna, offrendo la massima flessibilità di utilizzo. Inoltre, consente l'immissione in ambiente di aria trattata in compensazione di aria estratta da cappe di processo, rendendola ideale per applicazioni industriali che richiedono un controllo accurato della qualità dell'aria.
Condizionatori Roof Top;CLIMATIZZATORI ROOFTOP EVOLUTI NO FROST serie N.ICE K;https://www.zoppellaro.net/produzione-condizionatori-roof-top;N.ICE K: Climatizzatore autonomo a tutt'aria esterna, ideale per impianti con estrazione aria a perdere.N.ICE K è un climatizzatore autonomo in pompa di calore reversibile, con tecnologia no frost, progettato per impianti a tutt'aria con estrazione aria a perdere. Questa unità è ideale per applicazioni civili e industriali che richiedono un rinnovo continuo dell'aria, come cucine, ristoranti e locali commerciali. N.ICE K garantisce un controllo preciso del clima, con la possibilità di deumidificare l'aria e di funzionare anche al 100% con aria esterna. L'unità è in grado di compensare l'aria estratta da cappe di cucina, mantenendo un ambiente confortevole e salubre.
