Pagina_PDF;Modello Prodotto;Tipo;Portata Massima;Unità di misura;Pressione Operativa;Unità di misura;Portata Massima Ripresa;Unità di misura;Pressione Spinta Massima;Unità di misura;Aria esterna massima;Unità di misura;Valore di temperatura minimo;Unità di misura;Capacita Massima Aria Esterna;Unità di misura;Capacita frigorifera aria esterna;Unità di misura;Capacita di assorbimento aria esterna;Unità di misura;EER compressori;Potenza termica aria esterna;Unità di misura;Potenza assorbita  aria esterna;Unità di misura;COP compressori;Potenza aria calda esterna;Unità di misura;Potenza assorbita aria esterna 5;Unità di misura;COP compressori;Potenza recuperata minima;Unità di misura;Potenza frigorifera totale macchina6;Unità di misura;EER minimo sistema riferito ai soli compressori6;Potenza recuperata minima dalla ruota 40% a.e.9;Unità di misura;Potenza termica totale macchina7;Unità di misura;COP minimo sistema riferito ai soli compressori7;Potenza recuperata minima dalla ruota 20% a.e.6;Unità di misura;Potenza termica totale macchina;Potenza (KW);COP minimo sistema riferito ai soli compressori8;Efficienza stagionale in raffreddamento 9;Efficenza (%);Efficienza stagionale in riscaldamento 10;Efficenza (%);N. compressori / N. circuiti;Modulazione carico;Fluido refrigerante;Valvola espansione;Tipologia ventilatori sezione ventilante esterna;Tipologia ventilatori sezione ventilante mandata;Modulo gas massimo;Potenza termica massima modulo gas;Potenza (KW);Efficienza massima sul PCI;Efficenza (%);1 Prevalenza Massima Mandata;1 Prevalenza Massima Mandata unit;1 Prevalenza Massima Ripresa FC;1 Prevalenza Massima Ripresa FC unit;2 Rapporto di temperatura minimo;2 Rapporto di temperatura minimo unit;3 Potenza frigorifera netta 0% aria esterna;3 Potenza frigorifera netta 0% aria esterna unit;3 Potenza assorbita 0% aria esterna;3 Potenza assorbita 0% aria esterna unit;4 Potenza termica 0% aria esterna;4 Potenza termica 0% aria esterna unit;4 COP compressori;5 Potenza termica 0% aria esterna;5 Potenza termica 0% aria esterna unit;5 Potenza assorbita 0% aria esterna;5 Potenza assorbita 0% aria esterna unit;5 COP compressori;6 Potenza recuperata minima dalla ruota 30% a.e.;6 Potenza recuperata minima dalla ruota 30% a.e. unit;6 Potenza frigorifera totale macchina;6 Potenza frigorifera totale macchina unit;6 EER minimo sistema riferito ai soli compressori;7 Potenza recuperata minima dalla ruota 30% a.e.;7 Potenza recuperata minima dalla ruota 30% a.e. unit;7 Potenza termica totale macchina;7 Potenza termica totale macchina unit;7 COP minimo sistema riferito ai soli compressori;8 Potenza termica totale macchina;8 Potenza termica totale macchina unit;9 Efficienza stagionale in raffreddamento;9 Efficienza stagionale in raffreddamento unit;10 Efficienza stagionale in riscaldamento;10 Efficienza stagionale in riscaldamento unit;Potenza massima assorbita M/FCS;Potenza massima assorbita M/FCS unit;Corrente massima assorbita M/FCS;Corrente massima assorbita M/FCS unit;Spunto massimo M/FCS;Spunto massimo M/FCS unit;Alimentazione
7;AG-144;E;14.450;m3/h;978;Pa;16.506;m3/h;586;Pa;16.129;m3/h;75;%;12.342;m3/h;81,2;kW;17,3;kW;4,8;76,5;kW;13,6;kW;5,2;48,5;kW;12,8;kW;4,4;26,2;kW;107,2;kW;5,6;13,4;kW;86,3;kW;6,9;27,6;kW;73,1;kW;6,7;134,9;%;123,9;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G105;99,35;kW;118,5;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;AH-187;E;18.717;m3/h;841;Pa;18.178;m3/h;690;Pa;16.943;m3/h;75;%;12.122;m3/h;80,3;kW;23,1;kW;4,4;74,1;kW;17,7;kW;5,3;54,6;kW;14,8;kW;3,6;29,5;kW;118,9;kW;5,2;17,1;kW;96,5;kW;5,1;29,1;kW;86,1;kW;6,8;109,2;%;107,5;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G105;100,42;kW;97,1;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;AI-183;E;18.360;m3/h;1.152;Pa;21.370;m3/h;689;Pa;18.634;m3/h;75;%;11.979;m3/h;101,1;kW;25,7;kW;4,5;97,3;kW;18,8;kW;5,6;69,2;kW;15,3;kW;4,6;36,6;kW;135,4;kW;5,3;17,4;kW;120,2;kW;6,5;34,5;kW;113,3;kW;6,7;122,8;%;124,5;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G105;99,25;kW;107,5;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;AJ-195;E;19.533;m3/h;995;Pa;18.436;m3/h;697;Pa;19.787;m3/h;75;%;10.161;m3/h;119,5;kW;27,2;kW;4,1;112,4;kW;21,6;kW;4,5;84,5;kW;20,6;kW;3,4;36,7;kW;153,8;kW;5,2;19,2;kW;135,4;kW;5,1;35,5;kW;109,1;kW;5,7;150,7;%;152,9;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G105;101,99;kW;109,2;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;AK-233;F;23.337;m3/h;1.185;Pa;24.579;m3/h;695;Pa;21.393;m3/h;75;%;11.628;m3/h;122,3;kW;26,3;kW;4,3;117,8;kW;20,1;kW;4,5;84,5;kW;21,9;kW;4,3;35,3;kW;149,7;kW;6,4;19,6;kW;136,8;kW;6,4;39,1;kW;125,4;kW;5,1;159,5;%;138,2;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G132;128,02;kW;97,3;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;AL-295;F;29.516;m3/h;929;Pa;26.150;m3/h;615;Pa;24.536;m3/h;75;%;10.499;m3/h;147,8;kW;35,3;kW;4,2;131,6;kW;26,6;kW;5,5;99,7;kW;21,2;kW;3,9;44,7;kW;181,7;kW;5,4;25,4;kW;163,9;kW;5,1;54,3;kW;145,6;kW;6,1;131,2;%;137,5;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G162;170,34;kW;109,2;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;AM-282;F;28.284;m3/h;676;Pa;32.618;m3/h;724;Pa;30.555;m3/h;75;%;11.504;m3/h;166,5;kW;34,9;kW;4,7;145,5;kW;31,5;kW;4,1;108,9;kW;25,1;kW;3,5;47,7;kW;226,8;kW;5,2;29,7;kW;156,3;kW;6,4;59,7;kW;173,9;kW;6,3;149,4;%;135,2;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G162;149,67;kW;117,6;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;AN-270;F;27.048;m3/h;692;Pa;27.555;m3/h;736;Pa;28.919;m3/h;75;%;10.191;m3/h;150,4;kW;41,7;kW;3,7;166,2;kW;35,7;kW;5,5;126,2;kW;28,7;kW;3,2;48,6;kW;240,2;kW;5,7;30,2;kW;177,2;kW;5,2;54,7;kW;186,6;kW;6,2;134,6;%;132,7;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G162;169,19;kW;103,6;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;AO-358;G;35.887;m3/h;;;36.398;m3/h;;;32.222;m3/h;;;17.535;m3/h;;;;;3,8;;;32,3;kW;;;;;;;;;;;;;;;;;63,6;kW;;;5,2;;;;;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;195,8;kW;107,8;%;811;Pa;586;Pa;75;%;161,7;kW;44,1;kW;149,4;kW;4,6;128,3;kW;26,9;kW;3,9;53,9;kW;247,9;kW;5,5;31,1;kW;206,3;kW;6,2;183,3;kW;125,1;%;140,4;%;;;;;;;
9;AP-353;G;35.321;m3/h;;;33.638;m3/h;;;38.483;m3/h;;;16.902;m3/h;;;;;4,6;;;36,7;kW;,;;;;;;;;;;;;;;;;73,7;kW;;;5,6;;;;;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;174,7;kW;117,7;%;983;Pa;663;Pa;75;%;184,4;kW;45,6;kW;178,5;kW;4,3;126,8;kW;32,9;kW;4,4;61,5;kW;267,1;kW;6,1;34,5;kW;229,8;kW;5,1;188,5;kW;130,2;%;145,7;%;;;;;;;
9;AQ-426;G;42.621;m3/h;;;37.493;m3/h;;;40.379;m3/h;;;17.831;m3/h;;;;;3,9;;;35,3;kW;;;;;;;;;;;;;;;;;71,3;kW;;;6,5;;;;;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;180,5;kW;111,3;%;1.200;Pa;808;Pa;75;%;209,5;kW;45,8;kW;192,8;kW;4,5;126,1;kW;32,4;kW;4,7;65,6;kW;282,8;kW;5,5;36,7;kW;245,8;kW;5,8;231,2;kW;135,5;%;142,4;%;;;;;;;
9;AR-417;G;41.772;m3/h;;;38.057;m3/h;;;37.825;m3/h;;;19.955;m3/h;;;;;4,6;;;45,2;kW;;;;;;;;;;;;;;;;;79,3;kW;;;5,9;;;;;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;182,4;kW;101,6;%;994;Pa;720;Pa;75;%;240,9;kW;62,9;kW;241,4;kW;4,8;148,4;kW;40,3;kW;4,3;65,8;kW;292,8;kW;5,3;34,5;kW;237,7;kW;5,5;215,1;kW;146,3;%;133,9;%;;;;;;;
9;AS-429;H;42.978;m3/h;;;44.472;m3/h;;;42.465;m3/h;;;22.155;m3/h;;;;;3,7;;;41,2;kW;;;;;;;;;;;;;;;;;75,7;kW;;;5,8;;;;;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G320;271,89;kW;116,9;%;920;Pa;622;Pa;75;%;259,6;kW;60,1;kW;200,7;kW;4,5;156,2;kW;44,2;kW;4,1;72,1;kW;284,3;kW;5,4;37,5;kW;248,4;kW;6,1;246,3;kW;135,3;%;147,1;%;;;;;;;
10;AT-469;H;46.944;m3/h;1.098;Pa;52.785;m3/h;685;Pa;53.224;m3/h;73;%;24.371;m3/h;256,9;kW;64,4;kW;4,4;243,5;kW;49,8;kW;4,9;178,6;kW;49,5;kW;3,9;86,6;kW;325,7;kW;4,8;50,5;kW;321,4;kW;5,2;98,3;kW;283,1;kW;6,5;142,6;%;134,4;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G320;300,36;kW;104,3;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;AU-523;H;52.380;m3/h;1.168;Pa;48.981;m3/h;711;Pa;50.941;m3/h;73;%;22.314;m3/h;262,7;kW;71,5;kW;3,3;281,1;kW;68,1;kW;4,2;200,5;kW;52,5;kW;3,4;81,7;kW;384,3;kW;5,7;49,4;kW;356,6;kW;4,6;85,8;kW;281,1;kW;5,7;120,7;%;123,5;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;287,46;kW;102,8;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;AV-635;I;63.515;m3/h;811;Pa;54.322;m3/h;638;Pa;60.833;m3/h;73;%;22.774;m3/h;312,4;kW;81,3;kW;4,6;274,7;kW;55,7;kW;4,7;218,9;kW;51,2;kW;3,6;99,8;kW;404,1;kW;5,2;54,3;kW;314,3;kW;5,4;115,7;kW;345,7;kW;6,6;149,4;%;114,5;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;317,83;kW;98,3;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;AW-547;I;54.755;m3/h;854;Pa;56.447;m3/h;684;Pa;62.264;m3/h;73;%;24.139;m3/h;330,4;kW;75,8;kW;3,3;308,5;kW;68,8;kW;4,8;239,5;kW;59,4;kW;3,2;100,1;kW;399,2;kW;5,3;52,8;kW;333,8;kW;5,7;95,9;kW;355,8;kW;5,3;125,8;%;122,8;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;312,69;kW;104,9;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;AT-469;H;46.944;m3/h;1.098;Pa;52.785;m3/h;685;Pa;53.224;m3/h;75;%;24.371;m3/h;256,9;kW;64,4;kW;4,4;243,5;kW;49,8;kW;4,9;178,6;kW;49,5;kW;3,9;86,6;kW;325,7;kW;4,8;50,5;kW;321,4;kW;5,2;98,3;kW;283,1;kW;6,5;142,6;%;134,4;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G320;300,36;kW;104,3;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;AU-523;H;52.380;m3/h;1.168;Pa;48.981;m3/h;711;Pa;50.941;m3/h;75;%;22.314;m3/h;262,7;kW;71,5;kW;3,3;281,1;kW;68,1;kW;4,2;200,5;kW;52,5;kW;3,4;81,7;kW;384,3;kW;5,7;49,4;kW;356,6;kW;4,6;85,8;kW;281,1;kW;5,7;120,7;%;123,5;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;287,46;kW;102,8;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;AV-635;I;63.515;m3/h;811;Pa;54.322;m3/h;638;Pa;60.833;m3/h;75;%;22.774;m3/h;312,4;kW;81,3;kW;4,6;274,7;kW;55,7;kW;4,7;218,9;kW;51,2;kW;3,6;99,8;kW;404,1;kW;5,2;54,3;kW;314,3;kW;5,4;115,7;kW;345,7;kW;6,6;149,4;%;114,5;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;317,83;kW;98,3;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;AW-547;I;54.755;m3/h;854;Pa;56.447;m3/h;684;Pa;62.264;m3/h;75;%;24.139;m3/h;330,4;kW;75,8;kW;3,3;308,5;kW;68,8;kW;4,8;239,5;kW;59,4;kW;3,2;100,1;kW;399,2;kW;5,3;52,8;kW;333,8;kW;5,7;95,9;kW;355,8;kW;5,3;125,8;%;122,8;%;04-feb;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;312,69;kW;104,9;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;AB-34;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,7;kW;16,1;A;15,7;A;400V / 3F / 50Hz + N
11;CD-49;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,2;kW;22,6;A;23,7;A;400V / 3F / 50Hz + N
11;EF-52;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,1;kW;28,6;A;28,5;A;400V / 3F / 50Hz + N
11;GH-69;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,6;kW;27,9;A;86,1;A;400V / 3F / 50Hz + N
11;IJ-75;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,1;kW;33,9;A;104,7;A;400V / 3F / 50Hz + N
