Pagina_PDF;Modello PAL;Frame;Portata Massima Mandata Standard;Portata Massima Mandata Standard unit;Prevalenza Massima Mandata 1;Prevalenza Massima Mandata 1 unit;Portata Massima Ripresa Standard;Portata Massima Ripresa Standard unit;Prevalenza Massima Ripresa FC1;Prevalenza Massima Ripresa FC1 unit;Aria esterna massima freecooling;Aria esterna massima freecooling unit;Rapporto di temperatura minimo2;Rapporto di temperatura minimo2 unit;Portata massima aria esterna con η 1253/4 > 73%;Portata massima aria esterna con η 1253/4 > 73% unit;Potenza frigorifera netta 0% aria esterna3;Potenza frigorifera netta 0% aria esterna3 unit;Potenza assorbita 0% aria esterna3;Potenza assorbita 0% aria esterna3 unit;EER compressori3;Potenza termica 0% aria esterna4;Potenza termica 0% aria esterna4 unit;Potenza assorbita 0% aria esterna4;Potenza assorbita 0% aria esterna4 unit;COP compressori4;Potenza termica 0% aria esterna5;Potenza termica 0% aria esterna5 unit;Potenza assorbita 0% aria esterna5;Potenza assorbita 0% aria esterna5 unit;COP compressori5;Potenza recuperata minima dalla ruota 30% a.e.6;Potenza recuperata minima dalla ruota 30% a.e.6 unit;Potenza frigorifera totale macchina6;Potenza frigorifera totale macchina6 unit;EER minimo sistema riferito ai soli compressori6;Potenza recuperata minima dalla ruota 30% a.e.7;Potenza recuperata minima dalla ruota 30% a.e.7 unit;Potenza termica totale macchina7;Potenza termica totale macchina7 unit;COP minimo sistema riferito ai soli compressori7;Potenza recuperata minima dalla ruota 30% a.e.8;Potenza recuperata minima dalla ruota 30% a.e.8 unit;Potenza termica totale macchina8;Potenza termica totale macchina8 unit;COP minimo sistema riferito ai soli compressori8;Efficienza stagionale in raffreddamento 9;Efficienza stagionale in raffreddamento 9 unit;Efficienza stagionale in riscaldamento 10;Efficienza stagionale in riscaldamento 10 unit;N. compressori / N. circuiti;Modulazione carico;Fluido refrigerante;Valvola espansione;Tipologia ventilatori sezione ventilante esterna;Tipologia ventilatori sezione ventilante mandata;Modulo gas massimo;Potenza termica massima modulo gas;Potenza termica massima modulo gas unit;Efficienza massima sul PCI;Efficienza massima sul PCI unit;1 Prevalenza Massima Mandata;1 Prevalenza Massima Mandata unit;1 Prevalenza Massima Ripresa FC;1 Prevalenza Massima Ripresa FC unit;2 Rapporto di temperatura minimo;2 Rapporto di temperatura minimo unit;3 Potenza frigorifera netta 0% aria esterna;3 Potenza frigorifera netta 0% aria esterna unit;3 Potenza assorbita 0% aria esterna;3 Potenza assorbita 0% aria esterna unit;4 Potenza termica 0% aria esterna;4 Potenza termica 0% aria esterna unit;4 COP compressori;5 Potenza termica 0% aria esterna;5 Potenza termica 0% aria esterna unit;5 Potenza assorbita 0% aria esterna;5 Potenza assorbita 0% aria esterna unit;5 COP compressori;6 Potenza recuperata minima dalla ruota 30% a.e.;6 Potenza recuperata minima dalla ruota 30% a.e. unit;6 Potenza frigorifera totale macchina;6 Potenza frigorifera totale macchina unit;6 EER minimo sistema riferito ai soli compressori;7 Potenza recuperata minima dalla ruota 30% a.e.;7 Potenza recuperata minima dalla ruota 30% a.e. unit;7 Potenza termica totale macchina;7 Potenza termica totale macchina unit;7 COP minimo sistema riferito ai soli compressori;8 Potenza termica totale macchina;8 Potenza termica totale macchina unit;9 Efficienza stagionale in raffreddamento;9 Efficienza stagionale in raffreddamento unit;10 Efficienza stagionale in riscaldamento;10 Efficienza stagionale in riscaldamento unit;Potenza massima assorbita M/FCS;Potenza massima assorbita M/FCS unit;Corrente massima assorbita M/FCS;Corrente massima assorbita M/FCS unit;Spunto massimo M/FCS;Spunto massimo M/FCS unit;Alimentazione
5,62;0162-090;C;86,56;m3/h;8134,88;Pa;84,84;m3/h;6222,77;Pa;94,04;m3/h;777,92;%;86,16;m3/h;42.22;kW;10.99;kW;4.25;39.63;kW;7.94;kW;5.12;29.53;kW;6.89;kW;4.44;16.57;kW;65.07;kW;5.16;8.35;kW;47.95;kW;6.18;17.82;kW;44.59;kW;5.98;137.03;%;115.81;%;2 / 2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G040;44.16;kW;100.35;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6,44;0182-102;C;111,58;m3/h;11,75;Pa;105,28;m3/h;6830,38;Pa;94,23;m3/h;761,83;%;97,96;m3/h;54.42;kW;12.54;kW;4.01;48.94;kW;9.7;kW;4.97;33.88;kW;7.61;kW;4.21;19.07;kW;64.85;kW;5.82;9.85;kW;56.57;kW;5.5;18.55;kW;50.58;kW;5.84;124.35;%;109.49;%;2 / 2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;64.83;kW;113.17;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,43;0202-102;C;108,57;m3/h;11,36;Pa;105,2;m3/h;7105,01;Pa;102,02;m3/h;735,84;%;99,14;m3/h;59.06;kW;14.84;kW;3.76;56.25;kW;10.54;kW;4.84;36.32;kW;9.3;kW;3.7;18.6;kW;67.54;kW;5.19;9.73;kW;61.0;kW;5.51;19.49;kW;55.45;kW;6.22;128.15;%;113.1;%;2 / 2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;67.28;kW;114.95;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6,1;0182-102;D;102,03;m3/h;11,46;Pa;107,93;m3/h;7109,14;Pa;111,67;m3/h;673,78;%;107,16;m3/h;51.67;kW;10.95;kW;3.89;45.77;kW;9.83;kW;4.77;34.22;kW;7.99;kW;3.81;15.99;kW;64.76;kW;5.72;9.12;kW;52.88;kW;5.69;16.77;kW;47.65;kW;6.34;124.48;%;115.3;%;2 / 2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;58.23;kW;115.27;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6,02;0202-115;D;115,23;m3/h;9153,37;Pa;112,94;m3/h;5917,42;Pa;110,53;m3/h;745,7;%;110,2;m3/h;64.02;kW;14.37;kW;4.57;56.81;kW;11.91;kW;4.58;37.69;kW;10.84;kW;4.13;20.18;kW;82.92;kW;5.51;11.1;kW;72.82;kW;6.32;20.66;kW;63.23;kW;6.57;124.63;%;117.07;%;2 / 2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;64.81;kW;111.56;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,47;0242-135;D;131,69;m3/h;7586,15;Pa;145,89;m3/h;6141,62;Pa;133,08;m3/h;728,07;%;114,76;m3/h;68.46;kW;16.25;kW;3.81;67.49;kW;13.13;kW;4.59;47.13;kW;11.88;kW;4.08;23.95;kW;87.87;kW;5.34;12.96;kW;77.15;kW;6.24;25.36;kW;70.77;kW;6.64;119.85;%;112.64;%;2 / 2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;65.5;kW;104.44;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,33;0262-135;D;128,04;m3/h;8041,71;Pa;141,04;m3/h;6439,24;Pa;124,74;m3/h;665,2;%;120,02;m3/h;73.14;kW;16.93;kW;4.39;73.53;kW;16.03;kW;4.85;47.83;kW;12.25;kW;3.56;25.04;kW;104.85;kW;4.92;13.55;kW;92.35;kW;5.28;22.8;kW;69.54;kW;5.74;112.82;%;114.18;%;2/2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;65.38;kW;116.87;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,06;0262-154;E;144,5;m3/h;9780,88;Pa;165,06;m3/h;5861,44;Pa;161,29;m3/h;731,3;%;123,0;m3/h;81.23;kW;17.32;kW;4.08;76.25;kW;13.36;kW;5.12;48.25;kW;12.38;kW;4.24;26.12;kW;107.72;kW;5.66;13.54;kW;86.73;kW;6.29;27.6;kW;73.11;kW;6.67;134.09;%;123.79;%;2/2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G105;99.35;kW;118.55;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,64;0302-173;E;187,17;m3/h;8419,95;Pa;181,78;m3/h;6906,18;Pa;169,43;m3/h;723,0;%;121,22;m3/h;80.35;kW;23.16;kW;4.48;74.01;kW;17.7;kW;5.23;54.96;kW;14.8;kW;3.76;29.25;kW;118.39;kW;5.82;17.11;kW;96.05;kW;5.91;29.71;kW;86.21;kW;6.58;109.42;%;107.35;%;2/2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G105;100.42;kW;97.91;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,67;0362-203;E;183,6;m3/h;11,52;Pa;213,7;m3/h;6895,53;Pa;186,34;m3/h;738,8;%;119,79;m3/h;101.14;kW;25.78;kW;4.5;97.23;kW;18.78;kW;5.26;69.92;kW;15.53;kW;4.36;36.26;kW;135.64;kW;5.13;17.94;kW;120.22;kW;6.05;34.5;kW;113.83;kW;6.7;122.48;%;124.65;%;2/2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G105;99.25;kW;107.55;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,57;0402-203;E;195,33;m3/h;9,95;Pa;184,36;m3/h;6970,56;Pa;197,87;m3/h;760,89;%;101,61;m3/h;119.53;kW;27.26;kW;4.01;112.14;kW;21.36;kW;4.55;84.45;kW;20.86;kW;3.54;36.87;kW;153.38;kW;5.2;19.42;kW;135.14;kW;5.31;35.55;kW;109.91;kW;5.07;150.67;%;152.49;%;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G105;101.99;kW;109.2;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,86;0402-230;F;233,37;m3/h;11,85;Pa;245,79;m3/h;6958,3;Pa;213,93;m3/h;672,27;%;116,2;m3/h;122.39;kW;26.33;kW;4.63;117.58;kW;20.71;kW;4.75;84.75;kW;21.29;kW;4.03;35.93;kW;149.7;kW;6.04;19.86;kW;136.48;kW;6.24;39.31;kW;125.04;kW;5.71;159.25;%;138.02;%;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G132;128.02;kW;97.3;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,87;0482-270;F;295,16;m3/h;9298,06;Pa;261,0;m3/h;6157,8;Pa;245,36;m3/h;773,03;%;104,99;m3/h;147.86;kW;35.34;kW;4.02;131.96;kW;26.86;kW;5.15;99.47;kW;21.2;kW;3.89;44.97;kW;181.7;kW;5.44;25.44;kW;163.9;kW;5.91;54.03;kW;145.66;kW;6.11;131.92;%;137.05;%;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G162;170.3;kW;109.2;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,97;0522-300;F;282,84;m3/h;6760,91;Pa;326,18;m3/h;7245,28;Pa;305,55;m3/h;753,66;%;115,04;m3/h;166.05;kW;34.97;kW;4.17;145.95;kW;31.65;kW;4.51;108.09;kW;25.51;kW;3.85;47.67;kW;226.68;kW;5.12;29.87;kW;156.43;kW;6.24;59.57;kW;173.09;kW;6.73;149.14;%;135.42;%;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G162;149.67;kW;117.26;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,63;0602-300;F;270,48;m3/h;6929,57;Pa;275,55;m3/h;7368,7;Pa;289,19;m3/h;766,02;%;101,91;m3/h;150.49;kW;41.73;kW;3.97;166.52;kW;35.7;kW;5.05;126.52;kW;28.97;kW;3.72;48.86;kW;240.42;kW;5.47;30.62;kW;177.62;kW;5.62;54.37;kW;186.16;kW;6.12;134.76;%;132.57;%;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G162;169.1;kW;103.56;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9,36;0602-340;G;358,87;m3/h;;;363,98;m3/h;;;322,22;m3/h;;;175,35;m3/h;;;;;3.98;;;32.03;kW;;;;;;;;;;;;;;;;;63.16;kW;;;5.92;;;;;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;195.88;kW;107.28;%;8115,31;Pa;5860,21;Pa;728,15;%;161.67;kW;44.01;kW;149.64;kW;4.86;128.13;kW;26.99;kW;3.89;53.19;kW;247.69;kW;5.85;31.91;kW;206.93;kW;6.22;183.3;kW;125.71;%;140.24;%;;;;;;;
8,66;0662-370;G;353,21;m3/h;;;336,38;m3/h;;;384,83;m3/h;;;169,02;m3/h;;;;;4.16;;;36.37;kW;;;;;;;;;;;;;;;;;73.17;kW;;;5.96;;;;;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;174.87;kW;117.97;%;9833,35;Pa;6632,87;Pa;664,7;%;184.74;kW;45.6;kW;178.85;kW;4.63;126.88;kW;32.89;kW;4.04;61.85;kW;267.21;kW;6.21;34.15;kW;229.18;kW;5.71;188.45;kW;130.22;%;145.67;%;;;;;;;
8,6;0722-400;G;426,21;m3/h;;;374,93;m3/h;;;403,79;m3/h;;;178,31;m3/h;;;;;3.9;;;35.3;kW;;;;;;;;;;;;;;;;;71.83;kW;;;6.85;;;;;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;176.22;kW;111.03;%;10,2;Pa;8086,22;Pa;782,27;%;209.75;kW;45.48;kW;192.68;kW;4.65;126.71;kW;32.14;kW;4.47;65.16;kW;282.18;kW;5.85;36.77;kW;245.78;kW;5.8;231.12;kW;135.65;%;142.94;%;;;;;;;
8,89;0822-400;G;417,72;m3/h;;;380,5;m3/h;;;378,25;m3/h;;;199,5;m3/h;;;;;4.26;;;45.22;kW;;;;;;;;;;;;;;;;;79.63;kW;;;5.89;;;;;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G212;182.74;kW;101.26;%;9,94;Pa;7207,06;Pa;711,87;%;240.89;kW;62.49;kW;241.4;kW;4.38;148.64;kW;40.73;kW;4.13;65.88;kW;292.78;kW;5.43;34.85;kW;237.17;kW;5.45;215.1;kW;146.93;%;133.99;%;;;;;;;
9,46;0822-440;H;429,78;m3/h;;;444,7;m3/h;;;424,6;m3/h;;;221,55;m3/h;;;;;3.97;;;41.82;kW;;;;;;;;;;;;;;;;;75.07;kW;;;5.68;;;;;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G320;271.89;kW;116.89;%;9205,35;Pa;6227,84;Pa;754,13;%;259.0;kW;60.41;kW;200.7;kW;4.95;156.62;kW;44.52;kW;4.1;72.31;kW;284.3;kW;5.4;37.95;kW;248.34;kW;6.41;246.43;kW;135.23;%;147.41;%;;;;;;;
9,21;0922-500;H;469,44;m3/h;10,98;Pa;527,85;m3/h;6852,53;Pa;532,24;m3/h;735,93;%;243,71;m3/h;256.95;kW;64.45;kW;4.04;243.5;kW;49.8;kW;4.39;178.56;kW;49.95;kW;3.69;86.46;kW;325.87;kW;4.88;50.45;kW;321.04;kW;5.62;98.53;kW;283.81;kW;6.05;142.76;%;134.94;%;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G320;300.36;kW;104.13;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9,84;1042-500;H;523,8;m3/h;11,68;Pa;489,81;m3/h;7119,47;Pa;509,41;m3/h;715,9;%;223,14;m3/h;262.73;kW;71.57;kW;3.63;281.91;kW;68.01;kW;4.2;200.85;kW;52.5;kW;3.84;81.67;kW;384.73;kW;5.07;49.64;kW;356.96;kW;4.76;85.18;kW;281.1;kW;5.97;120.97;%;123.95;%;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;287.46;kW;102.28;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10,63;1042-580;I;635,15;m3/h;8118,9;Pa;543,22;m3/h;6384,23;Pa;608,33;m3/h;767,97;%;227,74;m3/h;312.44;kW;81.32;kW;4.06;274.77;kW;55.17;kW;4.78;218.99;kW;51.52;kW;3.62;99.98;kW;404.31;kW;5.62;54.33;kW;314.0;kW;5.44;115.57;kW;345.57;kW;6.46;149.14;%;114.75;%;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;317.83;kW;98.53;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10,33;1162-580;I;547,55;m3/h;8549,52;Pa;564,47;m3/h;6847,8;Pa;622,64;m3/h;763,0;%;241,39;m3/h;330.46;kW;75.84;kW;3.63;308.05;kW;68.8;kW;4.8;239.65;kW;59.4;kW;3.52;100.71;kW;399.92;kW;5.3;52.68;kW;333.8;kW;5.87;95.99;kW;355.18;kW;5.83;125.8;%;122.8;%;4/2;gradini;R410A;Elettronica;Assiali EC;Plug fan AC;G320;312.69;kW;104.99;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11,2;061-035;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.75;kW;16.31;A;15.87;A;400V / 3F / 50Hz + N
11,32;091-051;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.12;kW;22.96;A;23.67;A;400V / 3F / 50Hz + N
12,0;0101-057;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.1;kW;28.26;A;28.75;A;400V / 3F / 50Hz + N
12,0;0121-068;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.66;kW;27.29;A;86.11;A;400V / 3F / 50Hz + N
10,63;0141-079;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.1;kW;33.9;A;104.87;A;400V / 3F / 50Hz + N
